Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-07-28,11.069999694824219,11.859999656677246,11.024999618530273,11.6899995803833,364754
2025-07-29,10.885000228881836,11.154999732971191,10.859999656677246,11.149999618530273,183936
2025-07-30,10.890000343322754,11.029999732971191,10.819999694824219,10.920000076293945,110243
2025-07-31,10.859999656677246,10.920000076293945,10.6899995803833,10.920000076293945,185408
2025-08-01,10.869999885559082,11.03499984741211,10.555000305175781,11.024999618530273,252009
2025-08-04,11.21500015258789,11.289999961853027,10.875,10.885000228881836,285086
2025-08-05,11.335000038146973,11.350000381469727,11.085000038146973,11.210000038146973,167251
2025-08-06,11.175000190734863,11.430000305175781,11.100000381469727,11.350000381469727,98620
2025-08-07,11.494999885559082,11.675000190734863,11.244999885559082,11.244999885559082,283996
2025-08-08,11.704999923706055,11.744999885559082,11.539999961853027,11.600000381469727,233475
2025-08-11,11.420000076293945,11.845000267028809,11.359999656677246,11.800000190734863,198054
2025-08-12,11.569999694824219,11.600000381469727,11.305000305175781,11.46500015258789,111852
2025-08-13,11.430000305175781,11.699999809265137,11.430000305175781,11.619999885559082,134046
2025-08-14,11.539999961853027,11.569999694824219,11.319999694824219,11.399999618530273,114710
2025-08-15,11.585000038146973,11.795000076293945,11.524999618530273,11.585000038146973,149710
2025-08-18,11.96500015258789,12.390000343322754,11.600000381469727,11.600000381469727,662689
2025-08-19,11.494999885559082,12.199999809265137,11.494999885559082,12.015000343322754,366629
2025-08-20,11.21500015258789,11.350000381469727,11.114999771118164,11.220000267028809,434647
2025-08-21,10.550000190734863,11.390000343322754,10.260000228881836,10.470000267028809,1437023
2025-08-22,10.645000457763672,10.71500015258789,10.260000228881836,10.34000015258789,745887
2025-08-25,10.694999694824219,10.949999809265137,10.65999984741211,10.6899995803833,332207
2025-08-26,10.494999885559082,10.6899995803833,10.46500015258789,10.649999618530273,227003
2025-08-27,10.510000228881836,10.694999694824219,10.324999809265137,10.494999885559082,290622
2025-08-28,9.770000457763672,10.244999885559082,9.640000343322754,10.21500015258789,1320889
2025-08-29,9.878000259399414,10.15999984741211,9.767999649047852,9.770000457763672,738275
